Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
2/10/16,1243,1252
2/11/16,1081,1172
2/12/16,929,991
2/13/16,353,320
2/14/16,287,319
2/15/16,451,526
2/16/16,1180,1289
2/17/16,1213,1229
2/18/16,1117,1216
2/19/16,752,815
2/20/16,929,763
2/21/16,345,326
2/22/16,1308,1461
2/23/16,1626,1660
2/24/16,1445,1537
2/25/16,1638,1684
2/26/16,1186,1209
2/27/16,670,587
2/28/16,387,277
2/29/16,1211,1318
3/1/16,1859,887
3/2/16,2532,1253
3/3/16,2495,1203
3/4/16,2255,1095
3/5/16,1700,884
3/6/16,682,384
3/7/16,2022,966
3/8/16,2901,1417
3/9/16,2024,977
3/10/16,2042,962
3/11/16,2226,1114
3/12/16,696,367
3/13/16,334,170
3/14/16,2147,1054
3/15/16,2539,1251
3/16/16,3114,1516
3/17/16,3248,1621
3/18/16,2811,1388
3/19/16,1494,815
3/20/16,541,277
3/21/16,2048,947
3/22/16,2611,1262
3/23/16,2336,1080
3/24/16,2669,1340
3/25/16,2691,1280
3/26/16,1805,927
3/27/16,446,236
3/28/16,3111,1518
3/29/16,3926,1924
3/30/16,4301,2158
3/31/16,4198,2104
4/1/16,1928,1988
4/2/16,1014,954
4/3/16,1158,969
4/4/16,1387,1417
4/5/16,1737,1807
4/6/16,2100,2120
4/7/16,2285,2298
4/8/16,1921,1962
4/9/16,1270,1077
4/10/16,838,765
4/11/16,1554,1671
4/12/16,1231,1272
4/13/16,1387,1551
4/14/16,1622,1619
4/15/16,1402,1466
4/16/16,1217,1064
4/17/16,1193,1030
4/18/16,2271,2407
4/19/16,2435,2442
4/20/16,2391,2395
4/21/16,2159,2117
4/22/16,1367,1351
4/23/16,935,736
4/24/16,249,214
4/25/16,1509,1420
4/26/16,1993,2125
4/27/16,1899,1894
4/28/16,1849,2021
4/29/16,1427,1514
4/30/16,1177,1068
5/1/16,1323,1165
5/2/16,2778,2878
5/3/16,2599,2714
5/4/16,2023,2066
5/5/16,2435,2523
5/6/16,2405,2312
5/7/16,1536,1234
5/8/16,648,530
5/9/16,2367,2485
5/10/16,2781,2768
5/11/16,2717,2777
5/12/16,2524,2635
5/13/16,2425,2540
5/14/16,850,747
5/15/16,542,498
5/16/16,1791,2012
5/17/16,2478,2687
5/18/16,2258,2297
5/19/16,1589,1670
5/20/16,2464,2247
5/21/16,365,376
5/22/16,996,962
5/23/16,1975,2232
5/24/16,2238,2413
5/25/16,2168,2335
5/26/16,1927,2043
5/27/16,1401,1462
5/28/16,581,604
5/29/16,427,472
5/30/16,1534,1431
5/31/16,2450,2449
6/1/16,4809,2354
6/2/16,4085,1931
6/3/16,4470,2181
6/4/16,2639,1361
6/5/16,2133,1132
6/6/16,4764,2263
6/7/16,5087,2428
6/8/16,4627,2235
6/9/16,3970,1885
6/10/16,3278,1550
6/11/16,1660,901
6/12/16,2174,1078
6/13/16,3561,1644
6/14/16,3214,1511
6/15/16,4388,2073
6/16/16,4319,2044
6/17/16,3553,1679
6/18/16,1117,531
6/19/16,2273,1131
6/20/16,4348,2053
6/21/16,4425,2090
6/22/16,4724,2213
6/23/16,2572,1223
6/24/16,2615,1180
6/25/16,2223,1170
6/26/16,2500,1243
6/27/16,4546,2127
6/28/16,4745,2197
6/29/16,4484,2113
6/30/16,4314,2030
7/1/16,3698,1770
7/2/16,2014,1073
7/3/16,1781,824
7/4/16,2208,1058
7/5/16,3221,1524
7/6/16,4816,2306
7/7/16,3426,1563
7/8/16,3974,1683
7/9/16,2029,1025
7/10/16,2229,1188
7/11/16,4145,1893
7/12/16,4384,2074
7/13/16,4696,2242
7/14/16,4621,2203
7/15/16,3836,1772
7/16/16,2069,1026
7/17/16,2037,1025
7/18/16,3897,1825
7/19/16,4478,2163
7/20/16,4648,2220
7/21/16,4551,2120
7/22/16,2078,975
7/23/16,2107,1067
7/24/16,2170,1136
7/25/16,4375,2033
7/26/16,4744,2239
7/27/16,4794,2208
7/28/16,4483,2137
7/29/16,3938,1848
7/30/16,2131,1059
7/31/16,2105,1094
8/1/16,1999,2250
8/2/16,1705,1852
8/3/16,2108,2413
8/4/16,2136,2387
8/5/16,1822,2033
8/6/16,951,1027
8/7/16,817,787
8/8/16,1570,1943
8/9/16,1947,2214
8/10/16,2080,2430
8/11/16,2126,2443
8/12/16,1722,2151
8/13/16,947,944
8/14/16,1163,1439
8/15/16,1996,2370
8/16/16,2162,2508
8/17/16,2096,2515
8/18/16,2065,2376
8/19/16,1636,2088
8/20/16,942,1009
8/21/16,874,870
8/22/16,1900,2392
8/23/16,2125,2560
8/24/16,2061,2562
8/25/16,2011,2371
8/26/16,1766,2130
8/27/16,857,876
8/28/16,775,760
8/29/16,1985,2338
8/30/16,2017,2375
8/31/16,1625,1981
